id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
1,1,Oppenheimer,100000000,952000000,2023,8.63,1008589
2,1,Dunkirk,150000000,527000000,2017,8.46,800591
3,1,Tenet,205000000,365304105,2020,7.09,679078
4,1,Interstellar,165000000,746606706,2014,7.97,2472939
5,1,Following,6000,126052,1999,7.18,109420
6,1,Inception,160000000,839030630,2010,8.32,2793322
7,1,Batman Begins,150000000,374218673,2005,7.86,1700042
8,1,Insomnia,46000000,113714830,2002,7.79,340021
9,1,Memento,9000000,40060108,2000,8.54,1424930
10,1,The Prestige,40000000,109676311,2006,7.75,1573561
11,1,The Dark Knight,185000000,1004558444,2008,8.88,3135889
12,1,The Dark Knight Rises,250000000,1081041287,2012,8.17,1974176
