id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,9,Nausicaä of the Valley of the Wind,1000000,9016411,1984,8.41,195783
1,9,Princess Mononoke,23500000,176506186,1997,8.43,477867
2,9,Spirited Away,19000000,274925095,2001,9.08,954145
3,9,Castle in the Sky,3000000,5228752,1986,8.34,196825
4,9,Howl's Moving Castle,24000000,236049757,2004,8.4,507343
5,9,Porco Rosso,9200000,44600000,1992,8.35,115042
6,9,My Neighbor Totoro,3700000,41000000,1988,8.57,425325
7,9,Ponyo,34000000,202404009,2008,8.26,183104
8,9,The Castle of Cagliostro,7202188,8194857,1979,7.95,35395
9,9,Kiki's Delivery Service,6900000,4493017,1989,8.04,185670
10,9,The Wind Rises,30000000,117932401,2013,8.17,111654
11,9,The Boy and the Heron,50000000,294200000,2023,8.35,123968
